3c36c5f, NancyLi0637, 2 days ago, fixed icon error
a21a355, NancyLi0637, 9 days ago, 90% completed event system
75694b0, xiaotonghuang, 9 days ago, FORM IJ
3c0be5d, Jiayi Su, 9 days ago, Javadoc in files in speakerSystem
c6a37d3, Jiayi Su, 9 days ago, Javadoc in files in messageSystem
77d08d1, Jiayi Su, 9 days ago, Javadoc in files in roomSystem
dd1a0d8, NancyLi0637, 9 days ago, update on event system
32d77e1, NancyLi0637, 9 days ago, attentative event system
4b88605, NancyLi0637, 10 days ago, minor updates according to ij
cd17606, Jiayi Su, 10 days ago, Format in usecases
6405444, Jiayi Su, 10 days ago, Javadoc in files in entities
0badd02, Jiayi Su, 10 days ago, Javadoc in files in contactSystem
b714abd, Jiayi Su, 10 days ago, Other javadocs
c55983e, Jiayi Su, 10 days ago, Basic Javadoc
a24d799, Jiayi Su, 10 days ago, Javadoc for Event, EventActivity, EventAdapter
365eb0c, Jiayi Su, 10 days ago, Add a constructor in UserFactory.java in android use_cases using dependency injection; Javadoc
4257ab2, Jiayi Su, 10 days ago, Use managers from CleanArchActivity in UserFactory data fields
e6b3f19, Jiayi Su, 10 days ago, Add Javadoc
43735ba, NancyLi0637, 10 days ago, attentive event system
381eb79, NancyLi0637, 10 days ago, attentive event system
3cc0e37, NancyLi0637, 10 days ago, fixed sign up and login error
6b63dad, NancyLi0637, 11 days ago, -fixed database file error
9acd9e8, Jiayi Su, 11 days ago, Add printMessage method in FileReadWriter
0e504de, NancyLi0637, 11 days ago, -finished sign up and log in activity -connected to Users.txt file
7ce0c94, NancyLi0637, 11 days ago, connected logic for sign up and log in
5c07ed7, Jiayi Su, 12 days ago, Add account checking logic and error message in SignUpActivity and MainActivity
47e10c7, Jiayi Su, 12 days ago, Implement error message in SignUpActivity
c0985fe, Jiayi Su, 12 days ago, Add javadoc to SignUpActivity
e7ef9cc, NancyLi0637, 12 days ago, fixed setUpData() in SignUpActivity
c7391a8, NancyLi0637, 12 days ago, updated class structure for event system as well as correspongding layout
9ef1e63, Jiayi Su, 12 days ago, Add email and username checking logic in SignUpActivity
c60d2de, NancyLi0637, 12 days ago, update on navigation view for Attendee and Speaker
bc939a3, NancyLi0637, 13 days ago, -modified nav_view activities for Attendee menu -temporary complete draft of Speaker menu
2efb8f8, NancyLi0637, 13 days ago, added more p2 use cases and entities
9c8ca68, NancyLi0637, 13 days ago, added more p2 use cases and entities
c6289e2, Jiayi Su, 13 days ago, Merge result from master
98d6257, Jiayi Su, 13 days ago, Connect to backend files
169db82, NancyLi0637, 13 days ago, temporary complete version for Attendee Menu (before connecting to logic)
a6a2d5f, NancyLi0637, 13 days ago, changes to MainActivity and SignUpActivity
c1907da, NancyLi0637, 2 weeks ago, new package utility for common methods among activities    -SetUpActivity(new activity) - for toolbar and navigation views
adc5dbc, Jiayi Su, 2 weeks ago, Fix SIGN UP button not showing up
37c7b45, Jiayi Su, 2 weeks ago, Store the String of type the user selected in the spinner (e.g, Speaker) in SignUpActivity.java
4160eb1, Jiayi Su, 2 weeks ago, Create a Spinner in activity_signup.xml to allow User to specify their role when at Sign-Up
10fc216, Jiayi Su, 2 weeks ago, Test: First push
771ca22, NancyLi0637, 2 weeks ago, Create README.md
0ccf0e3, NancyLi0637, 2 weeks ago, first draft
